Kód obce,Název obce,Registrovaní voliči,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
530263,Nespeky,545,390,388,"16,75 %","0,00 %","0,00 %","6,18 %","0,00 %","6,70 %","4,89 %","1,54 %","0,25 %","0,77 %","0,00 %","0,00 %","16,23 %","0,00 %","0,25 %","8,76 %","29,89 %","0,00 %","0,00 %","2,06 %","0,00 %","0,25 %","0,00 %","0,25 %","5,15 %","0,00 %"
530298,Netvořice,899,575,573,"11,16 %","0,17 %","0,00 %","7,32 %","0,00 %","8,02 %","10,47 %","1,04 %","0,17 %","1,74 %","0,17 %","0,00 %","10,47 %","0,00 %","0,34 %","4,01 %","32,98 %","0,17 %","0,17 %","1,39 %","0,00 %","0,00 %","0,00 %","0,69 %","9,24 %","0,17 %"
530301,Neustupov,423,264,263,"1,90 %","0,00 %","0,00 %","9,88 %","0,00 %","9,12 %","7,98 %","1,14 %","1,52 %","4,18 %","0,00 %","0,00 %","5,70 %","0,76 %","0,00 %","4,18 %","37,26 %","0,00 %","0,00 %","3,42 %","0,00 %","0,76 %","0,38 %","0,00 %","11,78 %","0,00 %"
530310,Neveklov,2 080,1 238,1 218,"12,56 %","0,16 %","0,00 %","6,65 %","0,08 %","6,23 %","6,73 %","1,72 %","0,65 %","1,47 %","0,24 %","0,24 %","12,06 %","0,08 %","0,16 %","6,81 %","30,87 %","0,08 %","0,32 %","3,20 %","0,08 %","0,08 %","0,16 %","0,49 %","8,70 %","0,08 %"
530344,Olbramovice,991,664,660,"6,66 %","0,00 %","0,15 %","6,21 %","0,00 %","8,63 %","9,24 %","1,36 %","0,45 %","0,15 %","0,00 %","0,00 %","7,42 %","0,60 %","0,00 %","4,24 %","43,18 %","0,15 %","0,00 %","3,03 %","0,00 %","1,06 %","0,30 %","0,15 %","6,51 %","0,45 %"
599395,Ostrov,52,32,30,"6,66 %","0,00 %","0,00 %","0,00 %","0,00 %","10,00 %","13,33 %","0,00 %","0,00 %","0,00 %","0,00 %","3,33 %","16,66 %","0,00 %","0,00 %","0,00 %","33,33 %","0,00 %","0,00 %","3,33 %","0,00 %","3,33 %","0,00 %","0,00 %","10,00 %","0,00 %"
530352,Ostředek,292,206,205,"8,78 %","0,00 %","0,00 %","7,31 %","0,00 %","8,78 %","2,92 %","0,97 %","3,90 %","1,46 %","0,48 %","0,00 %","12,19 %","0,00 %","0,48 %","5,85 %","36,58 %","0,00 %","0,00 %","5,85 %","0,00 %","0,00 %","0,00 %","0,00 %","4,39 %","0,00 %"
533076,Pavlovice,168,121,119,"3,36 %","1,68 %","0,00 %","10,92 %","0,00 %","5,04 %","12,60 %","1,68 %","3,36 %","1,68 %","0,00 %","0,00 %","5,04 %","0,00 %","0,00 %","3,36 %","31,09 %","0,00 %","0,84 %","8,40 %","0,00 %","0,00 %","0,00 %","0,00 %","10,92 %","0,00 %"
530409,Petroupim,243,161,161,"13,04 %","1,24 %","0,00 %","8,07 %","0,00 %","13,66 %","3,72 %","1,86 %","1,24 %","0,00 %","0,62 %","0,00 %","8,07 %","0,00 %","0,00 %","3,10 %","37,88 %","0,00 %","1,86 %","1,24 %","0,00 %","0,62 %","0,00 %","0,00 %","3,72 %","0,00 %"
532649,Popovice,233,157,155,"8,38 %","0,00 %","0,00 %","9,67 %","0,00 %","6,45 %","11,61 %","1,29 %","0,64 %","0,64 %","0,00 %","0,00 %","10,32 %","0,00 %","0,64 %","1,93 %","32,90 %","0,00 %","0,00 %","3,22 %","0,00 %","0,00 %","0,00 %","0,00 %","12,25 %","0,00 %"
530441,Poříčí nad Sázavou,987,671,669,"15,24 %","0,00 %","0,00 %","6,87 %","0,00 %","9,41 %","3,58 %","1,04 %","0,44 %","1,34 %","0,00 %","0,00 %","7,62 %","0,00 %","0,14 %","8,07 %","31,53 %","0,29 %","0,00 %","2,98 %","0,00 %","0,29 %","0,29 %","0,00 %","10,31 %","0,44 %"
530450,Postupice,1 030,662,653,"10,41 %","0,00 %","0,00 %","4,59 %","0,30 %","10,71 %","6,43 %","1,07 %","0,45 %","0,61 %","0,00 %","0,00 %","11,63 %","0,00 %","0,30 %","2,60 %","39,05 %","0,00 %","0,00 %","3,06 %","0,00 %","1,53 %","0,15 %","0,30 %","6,27 %","0,45 %"
530476,Pravonín,447,290,289,"8,99 %","0,00 %","0,00 %","6,57 %","0,00 %","7,61 %","10,38 %","0,69 %","0,00 %","3,11 %","0,00 %","0,00 %","10,03 %","0,00 %","0,00 %","2,07 %","32,87 %","0,00 %","0,00 %","3,80 %","0,00 %","2,07 %","0,00 %","0,00 %","11,76 %","0,00 %"
530492,Přestavlky u Čerčan,296,222,221,"17,64 %","0,45 %","0,00 %","5,88 %","0,00 %","4,52 %","4,52 %","0,90 %","1,80 %","0,45 %","0,00 %","0,00 %","10,85 %","0,45 %","0,00 %","6,78 %","37,10 %","0,00 %","0,00 %","3,16 %","0,00 %","0,00 %","0,00 %","0,45 %","4,52 %","0,45 %"
530514,Psáře,113,69,69,"14,49 %","0,00 %","0,00 %","7,24 %","0,00 %","10,14 %","10,14 %","1,44 %","0,00 %","1,44 %","0,00 %","0,00 %","10,14 %","0,00 %","0,00 %","4,34 %","18,84 %","0,00 %","0,00 %","8,69 %","0,00 %","0,00 %","1,44 %","0,00 %","11,59 %","0,00 %"
538680,Pyšely,1 399,1 014,1 008,"17,36 %","0,00 %","0,09 %","5,95 %","0,00 %","13,39 %","3,96 %","1,58 %","0,69 %","1,78 %","0,09 %","0,29 %","14,48 %","0,09 %","0,29 %","7,24 %","22,12 %","0,00 %","0,00 %","2,67 %","0,00 %","0,69 %","0,00 %","0,00 %","6,94 %","0,19 %"
530522,Rabyně,235,168,168,"22,61 %","0,59 %","0,00 %","5,35 %","0,00 %","6,54 %","6,54 %","0,00 %","1,19 %","0,59 %","0,00 %","0,00 %","11,30 %","0,00 %","0,00 %","5,35 %","24,40 %","0,00 %","0,00 %","4,76 %","0,00 %","0,00 %","0,00 %","0,00 %","8,92 %","1,78 %"
530531,Radošovice,296,184,183,"10,38 %","0,54 %","0,00 %","4,37 %","0,00 %","10,92 %","8,74 %","0,00 %","1,09 %","3,27 %","0,00 %","0,00 %","8,74 %","0,54 %","0,00 %","5,46 %","20,76 %","0,00 %","0,00 %","18,03 %","0,00 %","0,54 %","0,54 %","0,00 %","6,01 %","0,00 %"
530549,Rataje,140,104,104,"7,69 %","0,00 %","0,00 %","9,61 %","0,00 %","9,61 %","10,57 %","1,92 %","1,92 %","0,00 %","0,00 %","0,00 %","5,76 %","0,00 %","0,00 %","2,88 %","26,92 %","0,00 %","0,00 %","11,53 %","0,00 %","0,00 %","0,00 %","0,00 %","11,53 %","0,00 %"
532550,Ratměřice,238,156,155,"11,61 %","0,00 %","0,00 %","4,51 %","0,64 %","22,58 %","6,45 %","1,29 %","0,00 %","0,64 %","0,00 %","0,00 %","6,45 %","0,00 %","0,00 %","7,74 %","26,45 %","0,00 %","0,00 %","2,58 %","0,00 %","0,64 %","0,00 %","1,93 %","6,45 %","0,00 %"
